"ELTGNR_CD","BSNS_PARTCPTN_STTUS_CMMN_CD","TITLE","EQP_CPCTY_CMMN_CD","BIZRNO","KMOS_MBERNO","KMOS_PRMISNNO","KMOS_REGISTNO","KMOS_REC_ACNTNO","ESS_YN","ESS_CPCTY","REGIST_DT","UPDT_DT","BSNS_PARTCPTN_DT","MRNR_SPORT_CMMN_CD","CSTMR_DSTBRT","BSNM_DSTBRT","CNTRCT_DT","MBER_ID","ELTGNR_NM","VPP_ELTGNR_CD","DVLP_RESRCE_CMMN_CD","EQP_CPCTY","LOCPLC"
"81e673b9-14b3-4870-9953-788a3a50321a","448808fd-47af-46e9-8e10-5ceca4bc3331","22090001_낙안솔라8호","884939cd-0c4a-41a6-ab41-71cb42611a75","2541800922","3348",순천 제383호,"5840/8421",PV12-R-024328,Y,99000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-09-01 00:00:00",Nakahn08,낙안솔라8호 태양광발전소,b8eb60ae-bfe1-433c-83bb-44f1785573ba,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",996840,의성군 사곡면 화전리 1958-1
"87d7843e-d956-435d-a57f-58e016f86b29","448808fd-47af-46e9-8e10-5ceca4bc3331","21090032_SH화전태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","4898800690","1036",의성군 제2017-80호,"6378",PV10-R-028498,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",50,50,"2021-08-24 00:00:00",sw9008,SH화전태양광발전소,d99c9f45-dd14-4405-824c-d084f31dc3d9,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",98825,전라남도 순천시 별량면 쌍림리 121
"8c29dc6e-d6db-4127-842a-b8c4a44ca97a","448808fd-47af-46e9-8e10-5ceca4bc3331","21090043_애월 태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","3168701808","1091",제 2020-6500000-81-00180 호,AQ97,PV10-R-052172,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",50,50,"2021-08-24 00:00:00",jeju82,애월 태양광발전소,"3ec307df-54e9-488b-9cb5-4b01bc778d6e","68caa790-e6c1-4de2-9370-81ae5f8c10ae",2476800,"경상북도 구미시 고아읍 파산리 산20-1,2"
"8cc69181-3fbc-4adb-8fd6-d4bc3501d4b4","448808fd-47af-46e9-8e10-5ceca4bc3331",영진태양광 발전소,"884939cd-0c4a-41a6-ab41-71cb42611a75","2278118142","4675",제2011-6420000-81-00059호,BE75,PV07-S-0846,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","042e8443-6773-4fe5-bd3e-cc64e9f5dbc8",60,40,"2023-03-28 00:00:00",jhc2500,영진태양광발전소,"1e674d68-8488-4e2d-98b2-81882fb9283f","68caa790-e6c1-4de2-9370-81ae5f8c10ae",197100,제주시 한림읍 동명리 110-2
"916796ee-88b1-499c-ba44-303883dfaba5","448808fd-47af-46e9-8e10-5ceca4bc3331","21090016_희윤2 태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","6163102073","1278",제 2014-6500000-81-00208호,"4806",PV12-R-011877,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",60,40,"2021-08-10 00:00:00",hy1120,희윤2태양광발전소,"676db8be-5af9-4ac4-800e-9937787fc565","68caa790-e6c1-4de2-9370-81ae5f8c10ae",99645,전라남도 순천시 낙안면 창녕리 879-3
"96969df0-24b5-4c47-ab66-6c34a777e828","448808fd-47af-46e9-8e10-5ceca4bc3331",대주중공업태양광발전소,"884939cd-0c4a-41a6-ab41-71cb42611a75","1318113040","4705",공주제14-89호,BK38,PV15-S-3849,N,0,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","042e8443-6773-4fe5-bd3e-cc64e9f5dbc8",60,40,"2023-05-08 00:00:00",DJ7121,대주중공업태양광발전소,"75f83c25-c02a-4bed-86be-543e7cc9a23e","68caa790-e6c1-4de2-9370-81ae5f8c10ae",99125,전라남도 순천시 낙안면 창녕리 879-13
a32cac28-cad9-4411-8f0a-31e4e4134303,"448808fd-47af-46e9-8e10-5ceca4bc3331",참빛1호 태양광발전소,"884939cd-0c4a-41a6-ab41-71cb42611a75","1111121086","4713",제2017-84호,BC08,PV10-R-035749,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","05295c49-3fe4-46ea-ad6c-471ec251e6ce",60,40,"2023-03-28 00:00:00",kkinam0326,참빛1호 태양광발전소,"73eda68a-b282-4c73-8f2c-da7a08808ed7","68caa790-e6c1-4de2-9370-81ae5f8c10ae",99280,서귀포시 성산읍 난산리 2727-12
a561c577-3e06-4f45-a8ff-cfa74dc1373d,"448808fd-47af-46e9-8e10-5ceca4bc3331","22090026_낙안솔라10호","884939cd-0c4a-41a6-ab41-71cb42611a75","1580900729","3486",순천 제372호,"7646/3090",PV12-R-025074,Y,99000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-09-23 00:00:00",Nakahn10,낙안솔라10호 태양광발전소,"02016af1-bede-4c99-8fa2-90d3a4756ea4","68caa790-e6c1-4de2-9370-81ae5f8c10ae",99280,서귀포시 성산읍 난산리 2727-11
acf612c9-23e3-4f2c-b021-0e979b96fbf0,"448808fd-47af-46e9-8e10-5ceca4bc3331","22070017_글로리어스","884939cd-0c4a-41a6-ab41-71cb42611a75","6678701346","3052",전남 제4359호,A764/3475,PV07-R-045726,Y,1000000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",GR3287,글로리어스태양광발전소,d6298f23-d000-42f3-ae93-fd0d5b6d3148,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",99280,서귀포시 성산읍 난산리 2727-9
b0c1394c-2040-415e-9d81-181498e1ba83,"448808fd-47af-46e9-8e10-5ceca4bc3331","21090058_한전리 태양광발전소 1호","884939cd-0c4a-41a6-ab41-71cb42611a75","4308101683","1011",양구군 제2020년-75호,AL25,PV10-R-052434,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",50,50,"2021-08-24 00:00:00",tspower8734,한전리 태양광발전소 1호,ff595857-89ae-470a-82b2-c93cad044f38,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",99000,서귀포시 성산읍 난산리 2707-6
